,L1_fix_16,lengths,L1_fix_24,L1_fix_32,L1_fix_64,L1_var_16,L1_var_24,L1_var_32,L1_var_64,L1_quant_16,L1_quant_24,L1_quant_32,L1_quant_64,L2_fix_16,L2_fix_24,L2_fix_32,L2_fix_64,L2_var_16,L2_var_24,L2_var_32,L2_var_64,L2_quant_16,L2_quant_24,L2_quant_32,L2_quant_64
25,2.417481262620163,107876,2.103063690462197,1.9024968781680853,1.4764157810396117,2.591884867871793,2.2437103104343166,2.041846352267602,1.8162977685252135,3.475401441258467,2.916873881202839,2.5731369553147614,1.9991372225633788,3.1652013404893227,2.7638293061328563,2.5104522710058474,1.966747792990307,3.3923698681292866,2.9493214247747934,2.674438068306387,2.3854069947114085,4.460585672948202,3.730220065961314,3.2765200643617844,2.5469608052881187
26,2.4136724012413,108781,2.0725926700014505,1.852975597040309,1.457243468031945,2.624538204891905,2.2469082629607864,2.025069009049064,1.76405017721379,3.3872180427138905,2.843274378351057,2.5117998945166784,1.9730701818932126,3.170164716055336,2.728187434069997,2.462408949239402,1.9474681826439466,3.468285388566816,2.9544074998306518,2.674356009786807,2.333528925597778,4.348208471831064,3.6432879951254113,3.2192538309419807,2.5184062524920736
27,2.409504242622131,123286,2.118180837102419,1.8765292396162745,1.4723577672156516,2.5968249460663166,2.2141407688203754,2.0475133084526007,1.7969962845356213,3.4159059082467933,2.861513631630566,2.512582686198728,1.9471751534825443,3.164710283670259,2.7764233474407565,2.4748101400833056,1.961906987484297,3.3854306166012735,2.9042715563850754,2.6963808270736895,2.3627759280464304,4.383277228555279,3.6679956341691606,3.231794029435772,2.4946512170825645
28,2.882204286110145,106311,2.4307177936618096,2.070841743104167,1.5651699651856823,3.137822010655085,2.5842754286239296,2.2954113195246264,1.937419896890649,3.521930951597456,2.9942265906015924,2.6553070434181936,2.055803678097168,3.7913888679653054,3.211320299370729,2.739401494406665,2.086976855448642,4.129712520157938,3.400340157775555,3.0199903771528693,2.5428291458842835,4.488626906992427,3.8143611116927643,3.37753151336789,2.6220873214112013
29,2.6744282316384247,126006,2.288354804560116,2.034739618524547,1.5863783390316968,2.8922340633960926,2.5092063793505215,2.2051653270241727,1.9327224996491417,3.498096963984566,2.954853773924519,2.6325320507693464,2.030540655603075,3.5077462175361833,3.0196168426299863,2.6927430719454333,2.106356515062566,3.809553310796365,3.2856583288987307,2.909192220103358,2.5520958048241056,4.487776294073374,3.7836903809864153,3.3587786824768773,2.5912954443731064
30,2.681957683244174,119659,2.388314506673308,2.0828275935863476,1.6068844265571418,2.9107345060959684,2.533571547033374,2.2668777343629216,1.9776818965795748,3.7407926720029683,3.1832353180400403,2.83477161433641,2.211989127133471,3.4916606768210445,3.11273255357859,2.745154392006492,2.140848014693206,3.8136062768565018,3.321989544297998,2.985213873011007,2.600066387019567,4.860542003697152,4.108502593153824,3.649260405736607,2.844754538019695
31,2.6670232915403034,105156,2.313813395544879,2.080944001101415,1.6449441774910945,2.8091703916661936,2.487465013416762,2.2611341557116904,2.0000732591778934,3.7823689023035896,3.172700505512135,2.7972014964932637,2.2101255962739876,3.4522881190036543,2.991985642323978,2.7115797733738085,2.1519578840073788,3.637087270273618,3.217037474334272,2.941176663702036,2.598226930110623,4.893021128150458,4.060138026520505,3.587929816430604,2.825020887788971
32,2.6495901273143336,121473,2.313435201547698,2.1163659718633805,1.6462540074881753,2.8661083910076774,2.4606471502354235,2.2650188629777364,2.0063251088171223,3.4192014508738358,2.909939289149124,2.610979393544653,2.073709002385326,3.5305201747462975,3.0290530546623162,2.7754497761721755,2.1696744995864714,3.7547436557702953,3.2327215236807403,2.954774045142088,2.622687099297216,4.414661894267942,3.7481259079688387,3.3554036699270866,2.6525771091989814
33,2.677606769688653,109689,2.3632825164464872,2.0847526036205952,1.6240509653093973,2.903905528793006,2.4623690848481865,2.265495682514223,1.96893955792811,3.8255366019366326,3.2394055395611008,2.8372483837854356,2.1970674195540782,3.519966465461518,3.0873899317319076,2.7391095006839956,2.134326692123748,3.84059705830623,3.2086488674399236,2.9497079022818373,2.5707476804386635,4.908665571965395,4.148614713086167,3.642044950926601,2.815103714465223
34,2.577610050640761,167252,2.2059406117754095,1.9337035778485363,1.4832760803642433,2.7396295497875798,2.326484059319012,2.1149087212767075,1.855484335660212,3.2348964627391346,2.78773680989578,2.4814183100764833,1.940363649208199,3.359517209153097,2.8999009694936304,2.5490448845977034,1.978921446172662,3.6169816386781104,3.0340759679554696,2.7705964159715295,2.441227496800442,4.130077253451591,3.5423578280598367,3.1577738795987615,2.46049804705789
